,Ones,City Zone,m^2,Rooms,Bathrooms,Elevator,"""Atico""",Terrasse,Parking,Kitchen,House Style,Yard,Price [euros]
94,1.0,4,103,4.0,2,0,0,0,0,0,0,0,242800
95,1.0,0,34,1.0,1,0,0,0,0,0,0,0,96000
96,1.0,0,70,3.0,1,0,0,0,0,0,0,0,183010
97,1.0,4,70,3.0,1,0,0,0,0,0,0,0,154243
98,1.0,1,90,4.0,2,0,0,0,0,1,0,0,290000
99,1.0,8,140,4.0,2,0,0,1,0,1,0,0,305950
100,1.0,0,75,3.0,1,0,0,0,0,0,0,0,153258
101,1.0,7,70,2.0,1,0,0,0,0,0,0,0,132000
102,1.0,4,52,3.0,1,0,0,0,0,0,0,0,117197
103,1.0,8,90,4.0,2,0,0,0,0,1,0,0,318536
104,1.0,8,147,4.0,2,1,0,1,0,1,0,0,439000
105,1.0,6,80,2.0,1,0,0,0,0,0,0,0,147248
106,1.0,8,110,3.0,2,0,1,0,0,1,0,0,282475
107,1.0,8,100,3.0,1,1,0,0,0,0,0,0,201339
108,1.0,0,60,2.0,1,0,0,0,0,0,0,0,217000
109,1.0,5,80,3.0,1,1,0,1,0,0,0,0,221773
110,1.0,5,113,4.0,2,0,0,1,1,0,0,1,540000
111,1.0,1,70,3.0,1,0,0,0,0,0,0,0,210355
112,1.0,4,60,2.0,1,1,0,0,0,0,0,0,111187
113,1.0,1,100,4.0,2,0,0,0,0,0,0,0,275000
114,1.0,2,144,3.0,2,1,0,0,1,0,0,0,576971
115,1.0,4,60,3.0,1,0,0,0,0,0,0,1,165000
116,1.0,5,100,3.0,2,1,0,0,1,1,0,1,307117
117,1.0,3,130,3.0,2,1,0,1,1,1,0,0,345582
118,1.0,3,80,4.0,1,1,0,0,0,0,0,0,300506
119,1.0,4,121,4.0,1,1,0,0,0,0,0,0,156263
120,1.0,1,90,3.0,2,1,0,0,0,0,0,0,280975
121,1.0,4,60,3.0,1,1,0,0,0,1,0,0,185112
122,1.0,7,60,3.0,1,0,0,0,0,0,0,0,175000
123,1.0,9,100,4.0,2,1,0,0,0,0,0,1,198333
124,1.0,1,45,1.0,1,0,0,0,0,0,0,0,131622
125,1.0,9,95,4.0,2,1,0,0,0,0,0,0,250000
126,1.0,7,55,2.0,1,0,0,0,0,0,0,0,147248
127,1.0,4,50,3.0,1,0,0,0,0,0,0,0,135168
128,1.0,7,75,3.0,1,0,0,0,0,0,0,0,191723
129,1.0,7,90,4.0,1,0,0,0,0,0,0,0,203800
130,1.0,8,100,3.0,2,0,0,0,0,1,0,0,269854
131,1.0,9,110,4.0,2,1,0,0,0,0,0,0,222374
132,1.0,6,80,3.0,1,1,0,0,0,0,0,0,204344
133,1.0,9,85,4.0,1,0,0,0,0,0,0,0,207349
134,1.0,6,85,3.0,2,1,0,1,0,1,1,0,147248
135,1.0,7,120,4.0,1,0,0,0,0,1,0,0,353996
136,1.0,4,85,3.0,1,0,0,0,0,0,1,0,208250
137,1.0,3,56,1.0,1,1,0,1,0,0,0,0,174294
138,1.0,5,75,3.0,2,1,0,0,0,1,0,0,173692
139,1.0,2,250,4.0,3,0,1,1,0,0,0,0,975000
140,1.0,8,100,3.0,2,0,0,0,0,0,0,0,276466
141,1.0,1,75,3.0,1,1,0,0,0,0,0,0,189319
142,1.0,2,160,6.0,2,0,0,0,0,0,0,0,480809
143,1.0,1,65,1.0,1,0,0,0,0,0,0,0,153300
144,1.0,8,70,2.0,1,0,0,0,0,0,0,0,183308
145,1.0,4,80,4.0,2,1,0,0,0,0,0,0,201940
146,1.0,7,75,3.0,1,1,0,0,0,0,0,0,210355
147,1.0,7,80,3.0,1,1,0,0,0,0,0,0,246415
148,1.0,7,95,3.0,1,0,0,1,0,0,0,0,420708
149,1.0,6,75,3.0,1,1,0,0,0,0,0,1,158367
150,1.0,1,76,4.0,1,1,0,0,0,0,0,0,195700
151,1.0,5,75,3.0,1,0,1,1,0,0,0,0,209753
152,1.0,1,50,1.0,1,0,0,1,0,0,0,0,171288
153,1.0,3,105,3.0,2,0,0,0,0,0,0,0,381643
154,1.0,6,90,4.0,1,0,1,0,0,0,0,0,228986
155,1.0,8,100,3.0,2,1,0,0,0,0,0,0,264445
156,1.0,9,70,3.0,1,0,0,0,0,0,0,0,140636
157,1.0,2,120,4.0,2,1,0,0,0,1,0,0,420000
158,1.0,3,85,1.0,1,1,0,0,1,0,0,0,231390
159,1.0,9,90,3.0,1,0,0,0,0,0,0,0,219369
160,1.0,7,85,3.0,1,0,0,0,0,0,0,0,138233
161,1.0,1,70,1.0,1,1,1,0,0,0,0,0,281874
162,1.0,8,70,3.0,1,0,0,0,0,1,0,0,174233
163,1.0,7,56,3.0,1,0,0,0,0,0,0,0,201400
164,1.0,1,90,3.0,1,0,0,0,0,0,0,0,257233
165,1.0,8,95,4.0,2,1,0,0,0,1,0,0,282500
166,1.0,0,45,2.0,1,0,0,0,0,0,0,0,120800
167,1.0,6,85,4.0,1,1,0,0,0,0,0,0,239900
168,1.0,5,75,3.0,1,1,0,0,0,0,0,0,216364
169,1.0,6,75,3.0,1,0,1,1,0,0,0,0,265395
170,1.0,0,85,3.0,1,1,0,1,0,0,0,0,222374
171,1.0,8,80,3.0,2,0,0,0,0,0,0,0,198034
172,1.0,5,75,3.0,1,0,0,1,0,0,0,0,216000
173,1.0,0,70,1.0,1,0,0,0,0,0,0,0,162273
174,1.0,6,82,4.0,1,1,0,0,0,1,0,0,218785
175,1.0,5,65,3.0,1,0,0,0,0,0,0,0,210350
176,1.0,6,70,3.0,1,0,0,0,0,1,0,0,207349
177,1.0,5,75,3.0,1,0,0,0,0,0,0,0,216364
178,1.0,8,90,3.0,2,1,0,0,0,0,0,0,237400
179,1.0,6,85,3.0,1,0,0,1,1,0,1,1,289000
180,1.0,8,100,4.0,2,0,1,0,0,1,0,0,265000
181,1.0,7,85,3.0,1,1,0,0,0,0,0,0,209753
182,1.0,1,65,2.0,1,0,0,0,0,1,0,0,199536
183,1.0,0,90,2.0,1,0,0,0,0,0,0,0,227182
184,1.0,4,100,3.0,2,0,0,0,0,0,0,0,275865
185,1.0,8,90,3.0,2,1,0,0,0,0,0,0,241906
186,1.0,7,75,4.0,1,1,0,0,0,0,0,0,218700
187,1.0,1,100,4.0,2,0,0,1,0,1,0,0,384000
188,1.0,4,65,3.0,1,1,0,0,0,0,0,0,221800
189,1.0,6,80,3.0,1,1,0,0,0,0,0,0,190000
190,1.0,4,60,2.0,1,0,0,0,0,0,0,1,144242
191,1.0,5,50,2.0,1,0,0,0,0,0,0,0,99200
192,1.0,9,65,2.0,1,1,0,1,0,0,0,0,195328
193,1.0,1,75,3.0,1,1,0,0,0,0,0,0,189319
194,1.0,8,70,1.0,1,0,0,0,0,0,0,0,146646
195,1.0,0,90,2.0,1,0,0,0,0,0,0,0,141237
196,1.0,1,150,6.0,2,1,0,0,0,1,0,0,446552
197,1.0,6,70,2.0,1,0,0,0,0,0,0,0,129218
198,1.0,4,60,3.0,1,0,0,0,0,0,0,0,149652
199,1.0,6,80,4.0,1,1,0,0,0,0,0,0,215300
200,1.0,2,200,5.0,3,1,0,0,0,1,0,0,757275
201,1.0,4,70,3.0,1,0,0,0,0,0,0,0,147248
202,1.0,4,65,2.0,1,0,0,0,0,0,0,0,141700
203,1.0,9,75,3.0,1,0,0,0,0,0,1,0,179703
204,1.0,1,90,4.0,2,1,0,0,0,1,0,0,323945
205,1.0,4,70,3.0,1,0,0,0,0,0,0,0,144240
206,1.0,1,100,4.0,2,0,0,1,0,0,0,0,261440
207,1.0,0,100,3.0,2,0,0,0,0,0,0,0,440600
208,1.0,3,146,3.0,2,1,0,1,1,1,0,0,462779
209,1.0,2,220,5.0,3,0,0,0,1,0,0,1,1099000
210,1.0,4,65,2.0,1,0,0,0,0,0,0,0,178043
211,1.0,8,90,3.0,1,0,0,0,0,0,0,0,198323
212,1.0,4,60,2.0,1,0,0,1,0,0,0,0,114192
213,1.0,1,90,1.0,1,1,0,0,0,0,0,0,437056
214,1.0,5,170,5.0,2,0,1,1,0,0,0,0,336600
215,1.0,9,100,3.0,1,0,0,0,0,1,0,0,226000
216,1.0,4,55,3.0,1,0,0,0,0,0,0,0,146046
