City Zone,m^2,Rooms,Bathrooms,Elevator,"""Atico""",Terrasse,Parking,Kitchen,House Style,Yard,Price [euros]
Eixample,90,4,2,0,0,0,0,1,0,0,290000 
Gràcia,140,4,2,0,0,1,0,1,0,0,305950 
Ciutat Vella,75,3,1,0,0,0,0,0,0,0,153258 
Horta - Guinardó,70,2,1,0,0,0,0,0,0,0,132000 
Nou Barris,52,3,1,0,0,0,0,0,0,0,117197 
Gràcia,90,4,2,0,0,0,0,1,0,0,318536 
Gràcia,147,4,2,1,0,1,0,1,0,0,439000 
Sant Andreu,80,2,1,0,0,0,0,0,0,0,147248 
Gràcia,110,3,2,0,1,0,0,1,0,0,282475 
Gràcia,100,3,1,1,0,0,0,0,0,0,201339 
Ciutat Vella,60,2,1,0,0,0,0,0,0,0,217000 
Sant Marti,80,3,1,1,0,1,0,0,0,0,221773 
Sant Marti,113,4,2,0,0,1,1,0,0,1,540000 
Eixample,70,3,1,0,0,0,0,0,0,0,210355 
Nou Barris,60,2,1,1,0,0,0,0,0,0,111187 
Eixample,100,4,2,0,0,0,0,0,0,0,275000 
Sarria - Sant Gervasi,144,3,2,1,0,0,1,0,0,0,576971 
Nou Barris,60,3,1,0,0,0,0,0,0,1,165000 
Sant Marti,100,3,2,1,0,0,1,1,0,1,307117 
Les Corts,130,3,2,1,0,1,1,1,0,0,345582 
Les Corts,80,4,1,1,0,0,0,0,0,0,300506 
Nou Barris,121,4,1,1,0,0,0,0,0,0,156263 
Eixample,90,3,2,1,0,0,0,0,0,0,280975 
Nou Barris,60,3,1,1,0,0,0,1,0,0,185112 
Horta - Guinardó,60,3,1,0,0,0,0,0,0,0,175000 
Sants - Montjuïc,100,4,2,1,0,0,0,0,0,1,198333 
Eixample,45,1,1,0,0,0,0,0,0,0,131622 
Sants - Montjuïc,95,4,2,1,0,0,0,0,0,0,250000 
Horta - Guinardó,55,2,1,0,0,0,0,0,0,0,147248 
Nou Barris,50,3,1,0,0,0,0,0,0,0,135168 
Horta - Guinardó,75,3,1,0,0,0,0,0,0,0,191723 
Horta - Guinardó,90,4,1,0,0,0,0,0,0,0,203800 
Gràcia,100,3,2,0,0,0,0,1,0,0,269854 
Sants - Montjuïc,110,4,2,1,0,0,0,0,0,0,222374 
Sant Andreu,80,3,1,1,0,0,0,0,0,0,204344 
Sants - Montjuïc,85,4,1,0,0,0,0,0,0,0,207349 
Sant Andreu,85,3,2,1,0,1,0,1,1,0,147248 
Horta - Guinardó,120,4,1,0,0,0,0,1,0,0,353996 
Nou Barris,85,3,1,0,0,0,0,0,1,0,208250 
Les Corts,56,1,1,1,0,1,0,0,0,0,174294 
Sant Marti,75,3,2,1,0,0,0,1,0,0,173692 
Sarria - Sant Gervasi,250,4,3,0,1,1,0,0,0,0,975000 
Gràcia,100,3,2,0,0,0,0,0,0,0,276466 
Eixample,75,3,1,1,0,0,0,0,0,0,189319 
Sarria - Sant Gervasi,160,6,2,0,0,0,0,0,0,0,480809 
Eixample,65,1,1,0,0,0,0,0,0,0,153300 
Gràcia,70,2,1,0,0,0,0,0,0,0,183308 
Nou Barris,80,4,2,1,0,0,0,0,0,0,201940 
Horta - Guinardó,75,3,1,1,0,0,0,0,0,0,210355 
Horta - Guinardó,80,3,1,1,0,0,0,0,0,0,246415 
Horta - Guinardó,95,3,1,0,0,1,0,0,0,0,420708 
Sant Andreu,75,3,1,1,0,0,0,0,0,1,158367 
Eixample,76,4,1,1,0,0,0,0,0,0,195700 
Sant Marti,75,3,1,0,1,1,0,0,0,0,209753 
Eixample,50,1,1,0,0,1,0,0,0,0,171288 
Les Corts,105,3,2,0,0,0,0,0,0,0,381643 
Sant Andreu,90,4,1,0,1,0,0,0,0,0,228986 
Gràcia,100,3,2,1,0,0,0,0,0,0,264445 
Sants - Montjuïc,70,3,1,0,0,0,0,0,0,0,140636 
Sarria - Sant Gervasi,120,4,2,1,0,0,0,1,0,0,420000 
Les Corts,85,1,1,1,0,0,1,0,0,0,231390 
Sants - Montjuïc,90,3,1,0,0,0,0,0,0,0,219369 
Horta - Guinardó,85,3,1,0,0,0,0,0,0,0,138233 
Eixample,70,1,1,1,1,0,0,0,0,0,281874 
Gràcia,70,3,1,0,0,0,0,1,0,0,174233 
Horta - Guinardó,56,3,1,0,0,0,0,0,0,0,201400 
Eixample,90,3,1,0,0,0,0,0,0,0,257233 
Gràcia,95,4,2,1,0,0,0,1,0,0,282500 
Ciutat Vella,45,2,1,0,0,0,0,0,0,0,120800 
Sant Andreu,85,4,1,1,0,0,0,0,0,0,239900 
Sant Marti,75,3,1,1,0,0,0,0,0,0,216364 
Sant Andreu,75,3,1,0,1,1,0,0,0,0,265395 
Ciutat Vella,85,3,1,1,0,1,0,0,0,0,222374 
Gràcia,80,3,2,0,0,0,0,0,0,0,198034 
Sant Marti,75,3,1,0,0,1,0,0,0,0,216000 
Ciutat Vella,70,1,1,0,0,0,0,0,0,0,162273 
Sant Andreu,82,4,1,1,0,0,0,1,0,0,218785 
Sant Marti,65,3,1,0,0,0,0,0,0,0,210350 
Sant Andreu,70,3,1,0,0,0,0,1,0,0,207349 
Sant Marti,75,3,1,0,0,0,0,0,0,0,216364 
Gràcia,90,3,2,1,0,0,0,0,0,0,237400 
Sant Andreu,85,3,1,0,0,1,1,0,1,1,289000 
Gràcia,100,4,2,0,1,0,0,1,0,0,265000 
Horta - Guinardó,85,3,1,1,0,0,0,0,0,0,209753 
Eixample,65,2,1,0,0,0,0,1,0,0,199536 
Ciutat Vella,90,2,1,0,0,0,0,0,0,0,227182 
Nou Barris,100,3,2,0,0,0,0,0,0,0,275865 
Gràcia,90,3,2,1,0,0,0,0,0,0,241906 
Horta - Guinardó,75,4,1,1,0,0,0,0,0,0,218700 
Eixample,100,4,2,0,0,1,0,1,0,0,384000 
Nou Barris,65,3,1,1,0,0,0,0,0,0,221800 
Sant Andreu,80,3,1,1,0,0,0,0,0,0,190000 
Nou Barris,60,2,1,0,0,0,0,0,0,1,144242 
Sant Marti,50,2,1,0,0,0,0,0,0,0,99200 
Sants - Montjuïc,65,2,1,1,0,1,0,0,0,0,195328 
Eixample,75,3,1,1,0,0,0,0,0,0,189319 
Gràcia,70,1,1,0,0,0,0,0,0,0,146646 
Ciutat Vella,90,2,1,0,0,0,0,0,0,0,141237 
Eixample,150,6,2,1,0,0,0,1,0,0,446552 
Sant Andreu,70,2,1,0,0,0,0,0,0,0,129218 
Nou Barris,60,3,1,0,0,0,0,0,0,0,149652 
Sant Andreu,80,4,1,1,0,0,0,0,0,0,215300 
Sarria - Sant Gervasi,200,5,3,1,0,0,0,1,0,0,757275 
Nou Barris,70,3,1,0,0,0,0,0,0,0,147248 
Nou Barris,65,2,1,0,0,0,0,0,0,0,141700 
Sants - Montjuïc,75,3,1,0,0,0,0,0,1,0,179703 
Eixample,90,4,2,1,0,0,0,1,0,0,323945 
Nou Barris,70,3,1,0,0,0,0,0,0,0,144240 
Eixample,100,4,2,0,0,1,0,0,0,0,261440 
Ciutat Vella,100,3,2,0,0,0,0,0,0,0,440600 
Les Corts,146,3,2,1,0,1,1,1,0,0,462779 
Sarria - Sant Gervasi,220,5,3,0,0,0,1,0,0,1,1099000 
Nou Barris,65,2,1,0,0,0,0,0,0,0,178043 
Gràcia,90,3,1,0,0,0,0,0,0,0,198323 
Nou Barris,60,2,1,0,0,1,0,0,0,0,114192 
Eixample,90,1,1,1,0,0,0,0,0,0,437056 
Sant Marti,170,5,2,0,1,1,0,0,0,0,336600 
Sants - Montjuïc,100,3,1,0,0,0,0,1,0,0,226000 
Nou Barris,55,3,1,0,0,0,0,0,0,0,146046 
Sant Andreu,90,3,1,1,0,1,0,1,0,0,215400 
Gràcia,95,3,2,1,0,0,0,1,0,0,300446 
Eixample,70,1,1,1,1,1,0,0,0,0,281874 
Sant Andreu,170,4,1,0,1,1,0,0,0,0,390657 
Sarria - Sant Gervasi,200,4,3,0,0,0,1,1,0,0,769295 
Nou Barris,83,3,1,0,0,0,0,1,0,0,231270 
Sarria - Sant Gervasi,125,3,2,0,0,1,1,0,0,0,447750 
Les Corts,100,3,2,0,1,1,0,0,0,0,360707 
Ciutat Vella,75,3,1,0,0,0,0,0,0,0,288485 
Sant Andreu,80,3,1,0,0,0,0,0,0,0,156264 
Sants - Montjuïc,65,3,1,0,0,0,0,0,0,0,137632 
Eixample,95,4,2,1,0,1,0,0,0,0,297500 
Sarria - Sant Gervasi,100,4,1,1,0,0,0,0,0,0,360607 
Nou Barris,65,3,1,0,0,0,0,0,0,0,145842 
Sant Andreu,110,4,1,0,0,0,0,0,0,0,189318 
Nou Barris,85,4,2,0,0,0,0,0,0,0,240405 
Horta - Guinardó,90,4,1,0,0,1,0,0,0,0,280000 
Nou Barris,60,3,1,0,1,1,0,0,0,0,148050 
Nou Barris,80,3,1,0,0,0,0,0,0,0,222074 
Sant Andreu,105,4,1,0,0,0,0,0,0,0,143642 
Horta - Guinardó,70,3,1,0,0,0,0,0,0,0,197733 
Eixample,100,4,2,0,0,0,0,0,0,0,277395 
Horta - Guinardó,80,3,1,0,0,0,0,0,0,0,258014 
Nou Barris,100,4,2,0,0,0,0,0,0,0,257233 
Eixample,95,3,2,1,1,1,0,0,1,0,416501 
Nou Barris,45,1,1,0,1,0,0,0,0,0,143512 
Nou Barris,110,3,1,0,0,1,0,0,1,0,222384 
Horta - Guinardó,80,3,1,1,0,0,0,0,0,0,250800 
Sant Andreu,60,3,1,0,0,0,0,0,0,0,126213 
Sant Marti,130,4,2,1,0,1,0,1,0,0,209000 
Horta - Guinardó,85,4,1,0,0,0,0,0,0,0,201339 
Sant Andreu,35,1,1,0,0,0,0,0,0,0,109000 
Eixample,160,5,2,0,0,0,0,0,0,0,516870 
